time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Ended_episodes,3_months_or_less,3_months_or_less_percent,more_than_3_months_6_months,more_than_3_months_6_months_percent,more_than_6_months_less_than_1_year,more_than_6_months_less_than_1_year_percent,1_year_less_than_2_years,1_year_less_than_2_years_percent,2years+,2years+_percent
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Duration of ended episode,4584,1461,31.9,1302,28.4,827,18,572,12.5,422,9.2
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Duration of ended episode,2730,1098,40.2,589,21.6,491,18,308,11.3,244,8.9
2023,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Duration of ended episode,1380,739,53.6,190,13.8,164,11.9,158,11.4,129,9.3
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Duration of ended episode,2633,1253,47.6,315,12,393,14.9,377,14.3,295,11.2
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Duration of ended episode,5896,2604,44.2,1097,18.6,1017,17.2,719,12.2,459,7.8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Duration of ended episode,1316,509,38.7,127,9.7,259,19.7,262,19.9,159,12.1
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Duration of ended episode,3641,2017,55.4,431,11.8,538,14.8,408,11.2,247,6.8
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Duration of ended episode,3457,1262,36.5,921,26.6,602,17.4,366,10.6,306,8.9
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Duration of ended episode,1730,698,40.3,233,13.5,359,20.8,256,14.8,184,10.6
2023,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Duration of ended episode,2107,846,40.2,278,13.2,352,16.7,302,14.3,329,15.6
